category,subcategory,symptoms,step_number,diagnosis_step,possible_results,vehicle_type,fuel_type,symptom,possible_fault,severity,user_fixable,tools_needed,beginner_steps,mechanic_advice,estimated_cost_inr,urgency,safety_warning
Liquid Systems,Power Steering Fluid,Whining noise when turning | Stiff steering wheel,2,Inspect power steering hoses for leaks,Leaking hoses | Hoses in good condition,,,,,,,,,,,,
Liquid Systems,Radiator,Engine overheating | Coolant leak,1,Inspect radiator for leaks or damage,Leaking/damaged radiator | Radiator in good condition,,,,,,,,,,,,
Liquid Systems,Radiator,Engine overheating | Coolant leak,2,Check radiator cap for proper seal,Loose/broken cap | Cap seals properly,,,,,,,,,,,,
Liquid Systems,Windshield Washer Fluid,No washer fluid spray | Weak washer fluid spray,1,Check washer fluid level,Low fluid level | Sufficient fluid level,,,,,,,,,,,,
Liquid Systems,Windshield Washer Fluid,No washer fluid spray | Weak washer fluid spray,2,Inspect washer fluid pump for operation,Faulty pump | Pump operates correctly,,,,,,,,,,,,
Transmission,Clutch Master Cylinder,Soft clutch pedal | Clutch slipping,1,Check clutch fluid level,Low fluid level | Sufficient fluid level,,,,,,,,,,,,
Transmission,Clutch Master Cylinder,Soft clutch pedal | Clutch slipping,2,Inspect master cylinder for leaks,Leaking cylinder | Cylinder in good condition,,,,,,,,,,,,
Transmission,Torque Converter,Slipping gears | Shuddering during acceleration,1,Inspect torque converter for leaks or damage,Leaking/damaged converter | Converter in good condition,,,,,,,,,,,,
Transmission,Torque Converter,Slipping gears | Shuddering during acceleration,2,Check transmission fluid level and condition,Low/dirty fluid | Clean/sufficient fluid,,,,,,,,,,,,
Transmission,Transmission Fluid,Gears slipping | Transmission overheating,1,Check transmission fluid level and condition,Low/dirty fluid | Clean/sufficient fluid,,,,,,,,,,,,
Transmission,Transmission Fluid,Gears slipping | Transmission overheating,2,Inspect transmission pan and seals for leaks,Leaking pan/seals | Pan/seals in good condition,,,,,,,,,,,,
Transmission,Transmission Filter,Delayed shifting | Transmission slipping,1,Inspect transmission filter for clogs or debris,Clogged/dirty filter | Clean filter,,,,,,,,,,,,
Transmission,Transmission Filter,Delayed shifting | Transmission slipping,2,Replace transmission filter if necessary,Replace filter | Filter in good condition,,,,,,,,,,,,
Transmission,Transmission Solenoid,Erratic shifting | Transmission won't shift gears,1,Test transmission solenoids for electrical continuity,Faulty solenoid | Solenoid working correctly,,,,,,,,,,,,
Transmission,Transmission Solenoid,Erratic shifting | Transmission won't shift gears,2,Inspect wiring harness for damage or corrosion,Damaged/corroded wiring | Intact wiring,,,,,,,,,,,,
Wheels & Tires,Wheel Bearing,Grinding noise from wheels | Uneven tire wear,1,Check wheel bearing for play,Loose/worn bearing | Bearing in good condition,,,,,,,,,,,,
Wheels & Tires,Wheel Bearing,Grinding noise from wheels | Uneven tire wear,2,Inspect bearing for signs of damage or corrosion,Damaged/corroded bearing | Clean/intact bearing,,,,,,,,,,,,
Wheels & Tires,Tire Pressure Monitoring System (TPMS),TPMS warning light on | Low tire pressure,1,Check tire pressures with gauge,Low/high pressure | Correct pressure,,,,,,,,,,,,
Wheels & Tires,Tire Pressure Monitoring System (TPMS),TPMS warning light on | Low tire pressure,2,Inspect TPMS sensors for damage or corrosion,Damaged/corroded sensors | Clean/intact sensors,,,,,,,,,,,,
Wheels & Tires,Wheel Hub,Clicking or popping noise when turning | Wheel wobbling,1,Inspect wheel hub for play or bearing noise,Loose/worn hub | Hub in good condition,,,,,,,,,,,,
Wheels & Tires,Wheel Hub,Clicking or popping noise when turning | Wheel wobbling,2,Check wheel bearings for wear,Worn bearings | Bearings in good condition,,,,,,,,,,,,
,,,,,,Car,Petrol/Diesel,ABS warning light on; Brake pedal pulsation,ABS Control Module,high,no,Basic toolkit,Check ABS fuse. Inspect wiring to ABS module,"If issue continues after basic inspection, visit a mechanic for abs control module diagnosis.",500-10000,immediate,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,ABS light stays on; Erratic speedometer,ABS Wheel Speed Sensor,medium,no,Basic toolkit,Inspect wheel speed sensor connections. Check wheel speed sensor for debris or damage,"If issue continues after basic inspection, visit a mechanic for abs wheel speed sensor diagnosis.",500-10000,soon,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,Spongy brake pedal; Hard brake pedal,Brake Booster,high,no,Basic toolkit,Check brake booster vacuum hose. Test brake booster vacuum pressure,"If issue continues after basic inspection, visit a mechanic for brake booster diagnosis.",500-10000,immediate,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,Brake pulling to one side; Brake dragging,Brake Caliper,high,no,Basic toolkit,Inspect brake caliper for leaks. Check brake caliper piston operation,"If issue continues after basic inspection, visit a mechanic for brake caliper diagnosis.",500-10000,immediate,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,Brake fluid leak; Soft brake pedal,Brake Hose,high,yes,Basic toolkit,Inspect brake hose for cracks or leaks. Pressure test brake hose,"If issue continues after basic inspection, visit a mechanic for brake hose diagnosis.",500-10000,immediate,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,Spongy brake pedal; Brake fluid leaks,Brake Master Cylinder,high,no,Basic toolkit,Check brake fluid level in master cylinder. Inspect master cylinder for leaks or damage,"If issue continues after basic inspection, visit a mechanic for brake master cylinder diagnosis.",500-10000,immediate,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,Squealing brakes; Brake pedal pulsation,Brake Pad,high,no,Basic toolkit,Check brake pad thickness. Inspect brake pad condition,"If issue continues after basic inspection, visit a mechanic for brake pad diagnosis.",500-10000,immediate,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,Brake pedal pulsation; Steering wheel vibration,Brake Rotor,high,no,Basic toolkit,Measure brake rotor thickness. Inspect brake rotor for scoring or warping,"If issue continues after basic inspection, visit a mechanic for brake rotor diagnosis.",500-10000,immediate,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,Spongy brake pedal; Brake dragging,Brake Shoe & Drum,high,no,Basic toolkit,Inspect brake shoes for wear. Check brake drum for scoring or cracks,"If issue continues after basic inspection, visit a mechanic for brake shoe & drum diagnosis.",500-10000,immediate,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,No cold air from vents; Loud noise when AC is on,AC Compressor,medium,no,Basic toolkit,Check AC compressor clutch operation. Inspect AC compressor for leaks or damage,"If issue continues after basic inspection, visit a mechanic for ac compressor diagnosis.",500-10000,soon,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,Warm air from AC vents; AC system not cooling,AC Condenser,medium,no,Basic toolkit,Inspect AC condenser for debris or blockage. Check for leaks in AC condenser,"If issue continues after basic inspection, visit a mechanic for ac condenser diagnosis.",500-10000,soon,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,Musty odor from vents; Weak airflow from vents,AC Evaporator,medium,no,Basic toolkit,Inspect AC evaporator for mold or mildew buildup. Check AC evaporator temperature sensor,"If issue continues after basic inspection, visit a mechanic for ac evaporator diagnosis.",500-10000,soon,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,Warm air from vents; Low AC system pressure,AC Recharge,medium,no,Basic toolkit,Check AC system pressure with gauge. Inspect for leaks in AC system,"If issue continues after basic inspection, visit a mechanic for ac recharge diagnosis.",500-10000,soon,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,AC system not working; Unusual noise from AC system,Air Conditioning Diagnosis,medium,no,Basic toolkit,Perform AC system diagnostic scan. Check AC system components for proper operation,"If issue continues after basic inspection, visit a mechanic for air conditioning diagnosis diagnosis.",500-10000,soon,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,Musty odor from vents; Reduced airflow from vents,Cabin Air Filter,medium,yes,Basic toolkit,Inspect and replace cabin air filter. Check for debris in cabin air intake,"If issue continues after basic inspection, visit a mechanic for cabin air filter diagnosis.",500-10000,soon,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,No air from vents; Loud noise from HVAC system,Heater Blower Motor,medium,no,Basic toolkit,Test blower motor operation. Inspect blower motor for debris or damage,"If issue continues after basic inspection, visit a mechanic for heater blower motor diagnosis.",500-10000,soon,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,HVAC fan speed erratic; HVAC fan only works on certain settings,Heater Blower Motor Resistor,medium,no,Basic toolkit,Test blower motor resistor continuity. Inspect resistor for overheating or burn marks,"If issue continues after basic inspection, visit a mechanic for heater blower motor resistor diagnosis.",500-10000,soon,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,Engine overheating; Coolant leaks under the vehicle,Coolant/Antifreeze,high,yes,Basic toolkit,Check coolant level and condition. Inspect radiator and hoses for leaks,"If issue continues after basic inspection, visit a mechanic for coolant/antifreeze diagnosis.",500-10000,immediate,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,Visible coolant puddle under vehicle; Coolant odor in cabin,Coolant Leak Diagnosis,medium,yes,Basic toolkit,"Pressure test cooling system. Inspect radiator, hoses, and water pump for leaks","If issue continues after basic inspection, visit a mechanic for coolant leak diagnosis diagnosis.",500-10000,soon,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,Engine overheating; Temperature gauge in red zone,Engine Cooling System,high,no,Basic toolkit,Check radiator for blockage or damage. Test thermostat operation,"If issue continues after basic inspection, visit a mechanic for engine cooling system diagnosis.",500-10000,immediate,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,No heat from vents; Sweet smell in cabin,Heater Core,medium,no,Basic toolkit,Inspect heater core for leaks. Check coolant flow through heater core,"If issue continues after basic inspection, visit a mechanic for heater core diagnosis.",500-10000,soon,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,Coolant odor in cabin; Visible coolant leak under vehicle,Heater Hose,medium,yes,Basic toolkit,Inspect heater hose connections. Pressure test heater hoses,"If issue continues after basic inspection, visit a mechanic for heater hose diagnosis.",500-10000,soon,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,Engine overheating; AC not cooling at idle,Radiator/Cooling Fan,high,no,Basic toolkit,Test radiator fan operation. Inspect radiator fan motor and relay,"If issue continues after basic inspection, visit a mechanic for radiator/cooling fan diagnosis.",500-10000,immediate,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,Coolant leak under vehicle; Visible wear/cracks on hoses,Radiator Hose,medium,yes,Basic toolkit,Inspect radiator hoses for damage. Check hose connections for leaks,"If issue continues after basic inspection, visit a mechanic for radiator hose diagnosis.",500-10000,soon,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,Engine overheating; Coolant leak near front of engine,Water Pump,high,no,Basic toolkit,Inspect water pump for leaks. Test water pump for proper operation,"If issue continues after basic inspection, visit a mechanic for water pump diagnosis.",500-10000,immediate,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,Whining noise from drivetrain; Difficulty shifting gears,Bevel Gears,medium,no,Basic toolkit,Inspect bevel gears for wear or damage. Check gear oil level and condition,"If issue continues after basic inspection, visit a mechanic for bevel gears diagnosis.",500-10000,soon,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,Vehicle binding on turns; Noise from drivetrain while turning,Center Differential,medium,no,Basic toolkit,Inspect center differential fluid. Check for excessive play in center differential,"If issue continues after basic inspection, visit a mechanic for center differential diagnosis.",500-10000,soon,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,Clutch pedal feels loose; Difficulty engaging gears,Clutch Cable,medium,no,Basic toolkit,Inspect clutch cable for fraying or stretching. Adjust clutch cable tension,"If issue continues after basic inspection, visit a mechanic for clutch cable diagnosis.",500-10000,soon,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,Clutch pedal feels spongy; Fluid leak near clutch pedal,Clutch Slave Cylinder,medium,no,Basic toolkit,Check clutch slave cylinder for leaks. Inspect clutch fluid level and condition,"If issue continues after basic inspection, visit a mechanic for clutch slave cylinder diagnosis.",500-10000,soon,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,Whining noise from rear end; Vehicle vibration at high speeds,Differential,medium,no,Basic toolkit,Inspect differential fluid level and condition. Check for differential bearing wear,"If issue continues after basic inspection, visit a mechanic for differential diagnosis.",500-10000,soon,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,Axle noise while turning; Vehicle leans to one side,Live Axle,medium,no,Basic toolkit,Inspect live axle for cracks or bending. Check axle bearings for wear,"If issue continues after basic inspection, visit a mechanic for live axle diagnosis.",500-10000,soon,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,Vehicle bounces over bumps; Loud noise from rear axle,Rigid Axle,medium,no,Basic toolkit,Inspect rigid axle for cracks or damage. Check axle bearings for wear,"If issue continues after basic inspection, visit a mechanic for rigid axle diagnosis.",500-10000,soon,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,Transmission slipping; Delay in gear engagement,Slushbox,medium,no,Basic toolkit,Check transmission fluid level and condition. Inspect transmission for leaks,"If issue continues after basic inspection, visit a mechanic for slushbox diagnosis.",500-10000,soon,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,Driveline vibration; Clunking noise when shifting,Universal Joint,medium,no,Basic toolkit,Inspect universal joint for wear or play. Check driveline alignment,"If issue continues after basic inspection, visit a mechanic for universal joint diagnosis.",500-10000,soon,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,Vehicle binding during turns; Noise from drivetrain while turning,Viscous Coupling,medium,no,Basic toolkit,Test viscous coupling operation. Inspect viscous coupling fluid,"If issue continues after basic inspection, visit a mechanic for viscous coupling diagnosis.",500-10000,soon,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,Engine cranks slowly; Clicking sound when starting,Battery Replacement,medium,yes,Basic toolkit,Test battery voltage. Inspect battery terminals for corrosion,"If issue continues after basic inspection, visit a mechanic for battery replacement diagnosis.",500-10000,soon,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,Battery warning light on; Dim headlights,Charging System,medium,no,Basic toolkit,Test alternator output. Check alternator belt tension,"If issue continues after basic inspection, visit a mechanic for charging system diagnosis.",500-10000,soon,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,Check engine light on; Poor engine performance,Check Engine Light Diagnosis,medium,no,Basic toolkit,Scan for diagnostic trouble codes (DTCs). Check sensors related to DTCs,"If issue continues after basic inspection, visit a mechanic for check engine light diagnosis diagnosis.",500-10000,soon,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,Window does not move; Window moves intermittently,Door Window Motor,medium,no,Basic toolkit,Test power to window motor. Inspect window regulator for damage,"If issue continues after basic inspection, visit a mechanic for door window motor diagnosis.",500-10000,soon,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,Window off track; Window stuck in one position,Door Window Regulator,medium,no,Basic toolkit,Inspect window regulator mechanism. Check window alignment in tracks,"If issue continues after basic inspection, visit a mechanic for door window regulator diagnosis.",500-10000,soon,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,Headlight not working; Dim headlight,Headlamp Bulb,medium,yes,Basic toolkit,Inspect headlamp bulb for filament condition. Check headlamp socket for corrosion,"If issue continues after basic inspection, visit a mechanic for headlamp bulb diagnosis.",500-10000,soon,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,Engine misfires; Difficulty starting engine,Ignition Distributor Cap,medium,no,Basic toolkit,Inspect distributor cap for cracks or carbon tracks. Check distributor rotor for wear,"If issue continues after basic inspection, visit a mechanic for ignition distributor cap diagnosis.",500-10000,soon,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,Engine misfires; Poor fuel economy,Ignition Wire Set,medium,no,Basic toolkit,Test ignition wires for continuity. Inspect spark plug boots for damage,"If issue continues after basic inspection, visit a mechanic for ignition wire set diagnosis.",500-10000,soon,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,Door lock not responding; Clicking sound from door,Power Door Lock Actuator,medium,no,Basic toolkit,Test power to door lock actuator. Inspect actuator mechanism for obstruction,"If issue continues after basic inspection, visit a mechanic for power door lock actuator diagnosis.",500-10000,soon,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,Engine does not crank; Clicking sound when key is turned,Starter Motor,medium,no,Basic toolkit,Test starter motor solenoid. Inspect starter motor brushes for wear,"If issue continues after basic inspection, visit a mechanic for starter motor diagnosis.",500-10000,soon,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,No washer fluid spray; Weak washer fluid spray,Windshield Washer Pump,medium,yes,Basic toolkit,Test power to washer pump. Inspect washer pump for clogs or damage,"If issue continues after basic inspection, visit a mechanic for windshield washer pump diagnosis.",500-10000,soon,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,Wipers not working; Wipers operate intermittently,Wiper Motor,medium,no,Basic toolkit,Test power to wiper motor. Inspect wiper motor linkage for wear,"If issue continues after basic inspection, visit a mechanic for wiper motor diagnosis.",500-10000,soon,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,Check engine light on; Rough idle,Canister Purge Valve,medium,no,Basic toolkit,Test canister purge valve operation. Check for leaks in purge valve hoses,"If issue continues after basic inspection, visit a mechanic for canister purge valve diagnosis.",500-10000,soon,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,Rotten egg smell from exhaust; Check engine light on,Catalytic Converter,medium,no,Basic toolkit,Inspect catalytic converter for physical damage. Check catalytic converter efficiency,"If issue continues after basic inspection, visit a mechanic for catalytic converter diagnosis.",500-10000,soon,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,Fuel odor from vehicle; Check engine light on,Charcoal Canister,medium,no,Basic toolkit,Test charcoal canister purge valve. Inspect canister for cracks or damage,"If issue continues after basic inspection, visit a mechanic for charcoal canister diagnosis.",500-10000,soon,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,Loud exhaust noise; Exhaust smell in cabin,Exhaust Manifold,medium,no,Basic toolkit,Inspect exhaust manifold for cracks or leaks. Check exhaust manifold gasket for leaks,"If issue continues after basic inspection, visit a mechanic for exhaust manifold diagnosis.",500-10000,soon,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,Loud exhaust noise; Visible exhaust leaks,Exhaust Manifold Gasket,medium,no,Basic toolkit,Inspect exhaust manifold gasket for leaks. Check exhaust manifold bolts for tightness,"If issue continues after basic inspection, visit a mechanic for exhaust manifold gasket diagnosis.",500-10000,soon,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,Check engine light on; Gas cap warning light,Fuel Tank Pressure Sensor,medium,no,Basic toolkit,Test fuel tank pressure sensor. Check fuel tank cap for proper seal,"If issue continues after basic inspection, visit a mechanic for fuel tank pressure sensor diagnosis.",500-10000,soon,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,Engine knocking/pinging; Poor fuel economy,Knock Sensor,medium,no,Basic toolkit,Test knock sensor operation. Inspect for engine misfire codes,"If issue continues after basic inspection, visit a mechanic for knock sensor diagnosis.",500-10000,soon,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,Check engine light on; Rough idle,M.A.P. Sensor,medium,no,Basic toolkit,Test M.A.P. sensor voltage. Inspect M.A.P. sensor vacuum hose,"If issue continues after basic inspection, visit a mechanic for m.a.p. sensor diagnosis.",500-10000,soon,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,Check engine light on; Poor fuel economy,Oxygen Sensor,medium,no,Basic toolkit,Test oxygen sensor voltage. Inspect oxygen sensor wiring for damage,"If issue continues after basic inspection, visit a mechanic for oxygen sensor diagnosis.",500-10000,soon,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,Engine vibration; Rough idle,Balance Shaft,medium,no,Basic toolkit,Inspect balance shaft for wear or damage. Check balance shaft alignment,"If issue continues after basic inspection, visit a mechanic for balance shaft diagnosis.",500-10000,soon,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,Loss of power; Turbo lag,Boost Pressure,medium,no,Basic toolkit,Check boost pressure with gauge. Inspect intercooler for leaks or damage,"If issue continues after basic inspection, visit a mechanic for boost pressure diagnosis.",500-10000,soon,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,Engine misfires; Black smoke from exhaust,Diesel Injection Pump,medium,no,Basic toolkit,Test diesel injection pump pressure. Inspect diesel injectors for leaks or clogs,"If issue continues after basic inspection, visit a mechanic for diesel injection pump diagnosis.",500-10000,soon,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,Hard starting in cold weather; Glow plug indicator light stays on,Diesel Glow Plug,medium,no,Basic toolkit,Test glow plug resistance. Inspect glow plug for carbon buildup,"If issue continues after basic inspection, visit a mechanic for diesel glow plug diagnosis.",500-10000,soon,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,Excessive engine movement; Clunking noise when accelerating,Engine Mounts,medium,no,Basic toolkit,Inspect engine mounts for wear or damage. Check mounting bolts for tightness,"If issue continues after basic inspection, visit a mechanic for engine mounts diagnosis.",500-10000,soon,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,Engine misfires; Rough idle,Exhaust Valve,medium,no,Basic toolkit,Inspect exhaust valve for carbon buildup. Check valve clearance,"If issue continues after basic inspection, visit a mechanic for exhaust valve diagnosis.",500-10000,soon,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,Engine misfires; Poor fuel economy,Fuel Injector,medium,no,Basic toolkit,Test fuel injector spray pattern. Inspect injector for leaks or clogs,"If issue continues after basic inspection, visit a mechanic for fuel injector diagnosis.",500-10000,soon,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,Erratic idle speed; Stalling at idle,Idle Air Control Valve,medium,no,Basic toolkit,Test IAC valve for proper operation. Clean throttle body and IAC valve,"If issue continues after basic inspection, visit a mechanic for idle air control valve diagnosis.",500-10000,soon,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,Engine misfires; Rough idle,Intake Valve,medium,no,Basic toolkit,Inspect intake valve for carbon buildup. Check valve clearance,"If issue continues after basic inspection, visit a mechanic for intake valve diagnosis.",500-10000,soon,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,Low oil pressure warning light; Engine knocking noise,Oil Pump,medium,no,Basic toolkit,Test oil pressure with gauge. Inspect oil pump for wear or damage,"If issue continues after basic inspection, visit a mechanic for oil pump diagnosis.",500-10000,soon,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,Blue smoke from exhaust; Loss of engine power,Piston Rings,medium,no,Basic toolkit,Perform compression test. Inspect piston rings for wear or damage,"If issue continues after basic inspection, visit a mechanic for piston rings diagnosis.",500-10000,soon,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,Engine misfires; Engine won't start,Timing Belt,medium,yes,Basic toolkit,Inspect timing belt for wear or damage. Check timing marks for alignment,"If issue continues after basic inspection, visit a mechanic for timing belt diagnosis.",500-10000,soon,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,Oil leak around valve cover; Burning oil smell from engine bay,Valve Cover Gasket,medium,no,Basic toolkit,Inspect valve cover gasket for leaks. Check valve cover bolts for tightness,"If issue continues after basic inspection, visit a mechanic for valve cover gasket diagnosis.",500-10000,soon,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,Engine overheating; Squealing noise from engine bay,Fan Belt,high,yes,Basic toolkit,Inspect fan belt for cuts or wear. Check belt tension and alignment,"If issue continues after basic inspection, visit a mechanic for fan belt diagnosis.",500-10000,immediate,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,No sound when horn button pressed,Horn,medium,no,Basic toolkit,Check horn fuse. Test horn relay for operation,"If issue continues after basic inspection, visit a mechanic for horn diagnosis.",500-10000,soon,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,Battery warning light on; Low voltage,Battery Charging,medium,yes,Basic toolkit,Test battery voltage. Inspect alternator for proper operation,"If issue continues after basic inspection, visit a mechanic for battery charging diagnosis.",500-10000,soon,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,Engine performance issues; Squealing noise from engine bay,Engine Belt,medium,yes,Basic toolkit,Inspect engine belt for cuts or wear. Check belt tension and alignment,"If issue continues after basic inspection, visit a mechanic for engine belt diagnosis.",500-10000,soon,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,Noise when turning steering wheel,Steering Noise,medium,no,Basic toolkit,Inspect power steering fluid level. Check power steering pump and hoses for leaks,"If issue continues after basic inspection, visit a mechanic for steering noise diagnosis.",500-10000,soon,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,Uneven tire wear; Vibration while driving,Shaft and Tires,medium,no,Basic toolkit,Inspect shaft for balance and alignment. Check tire pressure and condition,"If issue continues after basic inspection, visit a mechanic for shaft and tires diagnosis.",500-10000,soon,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,Decreased engine performance; Black smoke from exhaust,Air Filter,medium,yes,Basic toolkit,Inspect air filter for clogs or dirt. Replace air filter if necessary,"If issue continues after basic inspection, visit a mechanic for air filter diagnosis.",500-10000,soon,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,Engine misfires; Poor fuel economy,Engine Control Unit (ECU),medium,no,Basic toolkit,Check ECU for fault codes. Inspect ECU wiring harness for damage,"If issue continues after basic inspection, visit a mechanic for engine control unit (ecu) diagnosis.",500-10000,soon,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,Low oil pressure warning light; Loud engine noise,Engine Oil,medium,no,Basic toolkit,Check engine oil level and condition. Inspect for oil leaks,"If issue continues after basic inspection, visit a mechanic for engine oil diagnosis.",500-10000,soon,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,Engine stalls at high speeds; Poor acceleration,Fuel Filter,medium,yes,Basic toolkit,Inspect fuel filter for clogs or debris. Replace fuel filter if necessary,"If issue continues after basic inspection, visit a mechanic for fuel filter diagnosis.",500-10000,soon,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,Oil leaks; Rough idle,PCV Valve,medium,no,Basic toolkit,Inspect PCV valve for clogs. Check PCV valve hose for cracks,"If issue continues after basic inspection, visit a mechanic for pcv valve diagnosis.",500-10000,soon,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,Poor acceleration; Stalling at idle,Throttle Body,medium,no,Basic toolkit,Inspect throttle body for carbon buildup. Test throttle position sensor (TPS),"If issue continues after basic inspection, visit a mechanic for throttle body diagnosis.",500-10000,soon,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,Engine stalls; Black smoke from exhaust,Fuel Pressure Regulator,medium,no,Basic toolkit,Test fuel pressure regulator operation. Check fuel pressure at regulator,"If issue continues after basic inspection, visit a mechanic for fuel pressure regulator diagnosis.",500-10000,soon,Be careful while working near moving or hot vehicle parts.
